M,N,K,BM,BN,BK,TM,TN,Threads,ElapsedMs,GFLOPS
2048,2048,2048,64,64,8,4,4,256,3.7128,4627.2
2048,2048,2048,64,64,8,8,8,64,5.53408,3104.38
2048,2048,2048,64,64,16,8,8,64,5.28078,3253.28
2048,2048,2048,128,64,8,8,4,256,3.09284,5554.71
2048,2048,2048,128,64,16,8,4,256,2.57717,6666.18
2048,2048,2048,128,128,8,8,8,256,3.6752,4674.54
2048,2048,2048,128,128,16,8,8,256,3.57416,4806.68
